Timestamps,Type,Mean
01/07/2019,ESG-Mean,0.200595558
02/07/2019,ESG-Mean,0.200419417
03/07/2019,ESG-Mean,0.199466549
04/07/2019,ESG-Mean,0.20047509
05/07/2019,ESG-Mean,0.200398601
06/07/2019,ESG-Mean,0.199771059
07/07/2019,ESG-Mean,0.199325751
08/07/2019,ESG-Mean,0.197695327
09/07/2019,ESG-Mean,0.198140965
10/07/2019,ESG-Mean,0.199216231
11/07/2019,ESG-Mean,0.200195244
12/07/2019,ESG-Mean,0.198501259
13/07/2019,ESG-Mean,0.195556853
14/07/2019,ESG-Mean,0.195038985
15/07/2019,ESG-Mean,0.195893297
16/07/2019,ESG-Mean,0.197427637
17/07/2019,ESG-Mean,0.198500192
18/07/2019,ESG-Mean,0.198317896
19/07/2019,ESG-Mean,0.19886506
20/07/2019,ESG-Mean,0.198045159
21/07/2019,ESG-Mean,0.19768496
22/07/2019,ESG-Mean,0.197797196
23/07/2019,ESG-Mean,0.19891136
24/07/2019,ESG-Mean,0.199650971
25/07/2019,ESG-Mean,0.20122898
26/07/2019,ESG-Mean,0.203096223
27/07/2019,ESG-Mean,0.204334591
28/07/2019,ESG-Mean,0.205289102
29/07/2019,ESG-Mean,0.204664083
30/07/2019,ESG-Mean,0.203667477
31/07/2019,ESG-Mean,0.19963499
01/08/2019,ESG-Mean,0.198448489
02/08/2019,ESG-Mean,0.195974324
03/08/2019,ESG-Mean,0.194989152
04/08/2019,ESG-Mean,0.194025467
05/08/2019,ESG-Mean,0.191017606
06/08/2019,ESG-Mean,0.188581609
07/08/2019,ESG-Mean,0.18808277
08/08/2019,ESG-Mean,0.188028153
09/08/2019,ESG-Mean,0.18702704
10/08/2019,ESG-Mean,0.187763689
11/08/2019,ESG-Mean,0.189452682
12/08/2019,ESG-Mean,0.188600948
13/08/2019,ESG-Mean,0.185531539
14/08/2019,ESG-Mean,0.182188568
15/08/2019,ESG-Mean,0.180498759
16/08/2019,ESG-Mean,0.177819346
17/08/2019,ESG-Mean,0.178210981
18/08/2019,ESG-Mean,0.177243045
19/08/2019,ESG-Mean,0.178256027
20/08/2019,ESG-Mean,0.178667896
21/08/2019,ESG-Mean,0.180088776
22/08/2019,ESG-Mean,0.181208392
23/08/2019,ESG-Mean,0.180011306
24/08/2019,ESG-Mean,0.178574871
25/08/2019,ESG-Mean,0.178775077
26/08/2019,ESG-Mean,0.178949226
27/08/2019,ESG-Mean,0.179229759
