Timestamps,Type1,Data1
01/07/2019,ESG-STD,0.599705917
02/07/2019,ESG-STD,0.600480302
03/07/2019,ESG-STD,0.602231488
04/07/2019,ESG-STD,0.60098914
05/07/2019,ESG-STD,0.600326301
06/07/2019,ESG-STD,0.600947429
07/07/2019,ESG-STD,0.600358801
08/07/2019,ESG-STD,0.601150824
09/07/2019,ESG-STD,0.602195911
10/07/2019,ESG-STD,0.602424169
11/07/2019,ESG-STD,0.601650348
12/07/2019,ESG-STD,0.602226757
13/07/2019,ESG-STD,0.604141809
14/07/2019,ESG-STD,0.60370723
15/07/2019,ESG-STD,0.602952639
16/07/2019,ESG-STD,0.601356823
17/07/2019,ESG-STD,0.601616276
18/07/2019,ESG-STD,0.602261292
19/07/2019,ESG-STD,0.606225702
20/07/2019,ESG-STD,0.605606453
21/07/2019,ESG-STD,0.605547823
22/07/2019,ESG-STD,0.60600094
23/07/2019,ESG-STD,0.60608683
24/07/2019,ESG-STD,0.606306042
25/07/2019,ESG-STD,0.603107953
26/07/2019,ESG-STD,0.6019874
27/07/2019,ESG-STD,0.601893166
28/07/2019,ESG-STD,0.599736322
29/07/2019,ESG-STD,0.598690671
30/07/2019,ESG-STD,0.597575469
31/07/2019,ESG-STD,0.598516756
01/08/2019,ESG-STD,0.599321894
02/08/2019,ESG-STD,0.60196875
03/08/2019,ESG-STD,0.602997528
04/08/2019,ESG-STD,0.605393113
05/08/2019,ESG-STD,0.609325057
06/08/2019,ESG-STD,0.611107417
07/08/2019,ESG-STD,0.610154163
08/08/2019,ESG-STD,0.607355904
09/08/2019,ESG-STD,0.60758441
10/08/2019,ESG-STD,0.607137594
11/08/2019,ESG-STD,0.60672201
12/08/2019,ESG-STD,0.608141538
13/08/2019,ESG-STD,0.611126323
14/08/2019,ESG-STD,0.615486985
15/08/2019,ESG-STD,0.618027008
16/08/2019,ESG-STD,0.618688275
17/08/2019,ESG-STD,0.618195952
18/08/2019,ESG-STD,0.615823621
19/08/2019,ESG-STD,0.613145796
20/08/2019,ESG-STD,0.610203143
21/08/2019,ESG-STD,0.60895998
22/08/2019,ESG-STD,0.609169868
23/08/2019,ESG-STD,0.609954946
24/08/2019,ESG-STD,0.610245577
25/08/2019,ESG-STD,0.608530389
26/08/2019,ESG-STD,0.607173306
27/08/2019,ESG-STD,0.606797203
28/08/2019,ESG-STD,0.605546489
29/08/2019,ESG-STD,0.6051186
30/08/2019,ESG-STD,0.604976296
31/08/2019,ESG-STD,0.605800687
01/09/2019,ESG-STD,0.608573883
02/09/2019,ESG-STD,0.611576155
03/09/2019,ESG-STD,0.613801948
04/09/2019,ESG-STD,0.616534413
05/09/2019,ESG-STD,0.616525218
06/09/2019,ESG-STD,0.616707698
07/09/2019,ESG-STD,0.614205466
08/09/2019,ESG-STD,0.611488903
09/09/2019,ESG-STD,0.609564038
10/09/2019,ESG-STD,0.60759904
11/09/2019,ESG-STD,0.608349917
12/09/2019,ESG-STD,0.608633377
13/09/2019,ESG-STD,0.607247923
14/09/2019,ESG-STD,0.607219489
15/09/2019,ESG-STD,0.607250542
16/09/2019,ESG-STD,0.609632275
17/09/2019,ESG-STD,0.614282183
18/09/2019,ESG-STD,0.615853346
19/09/2019,ESG-STD,0.617205196
20/09/2019,ESG-STD,0.615936668
21/09/2019,ESG-STD,0.615754219
22/09/2019,ESG-STD,0.61397382
23/09/2019,ESG-STD,0.613109014
24/09/2019,ESG-STD,0.614064705
25/09/2019,ESG-STD,0.614711622
26/09/2019,ESG-STD,0.6142485
27/09/2019,ESG-STD,0.613158533
28/09/2019,ESG-STD,0.613744798
29/09/2019,ESG-STD,0.612326331
30/09/2019,ESG-STD,0.6104167
01/10/2019,ESG-STD,0.60952081
02/10/2019,ESG-STD,0.61001783
03/10/2019,ESG-STD,0.610492288
04/10/2019,ESG-STD,0.611127072
05/10/2019,ESG-STD,0.60868996
06/10/2019,ESG-STD,0.606896556
07/10/2019,ESG-STD,0.606298819
08/10/2019,ESG-STD,0.607692954
09/10/2019,ESG-STD,0.608600683
10/10/2019,ESG-STD,0.609457573
11/10/2019,ESG-STD,0.608425978
12/10/2019,ESG-STD,0.608756192
13/10/2019,ESG-STD,0.606893311
14/10/2019,ESG-STD,0.606259802
15/10/2019,ESG-STD,0.607468946
16/10/2019,ESG-STD,0.608915592
17/10/2019,ESG-STD,0.609457051
18/10/2019,ESG-STD,0.608355398
19/10/2019,ESG-STD,0.608067727
20/10/2019,ESG-STD,0.606861098
21/10/2019,ESG-STD,0.606847981
22/10/2019,ESG-STD,0.607479429
23/10/2019,ESG-STD,0.607545296
24/10/2019,ESG-STD,0.607568759
25/10/2019,ESG-STD,0.607419868
26/10/2019,ESG-STD,0.606654514
27/10/2019,ESG-STD,0.604179048
28/10/2019,ESG-STD,0.604612075
29/10/2019,ESG-STD,0.606390664
30/10/2019,ESG-STD,0.605838809
31/10/2019,ESG-STD,0.606161492
01/11/2019,ESG-STD,0.60423367
02/11/2019,ESG-STD,0.603940022
03/11/2019,ESG-STD,0.603652549
04/11/2019,ESG-STD,0.601682582
05/11/2019,ESG-STD,0.60042453
06/11/2019,ESG-STD,0.599919557
07/11/2019,ESG-STD,0.59967024
08/11/2019,ESG-STD,0.601672591
09/11/2019,ESG-STD,0.603459943
10/11/2019,ESG-STD,0.603428321
11/11/2019,ESG-STD,0.603304104
12/11/2019,ESG-STD,0.603267704
13/11/2019,ESG-STD,0.604264868
14/11/2019,ESG-STD,0.605628702
15/11/2019,ESG-STD,0.604977706
16/11/2019,ESG-STD,0.60506077
17/11/2019,ESG-STD,0.603976835
18/11/2019,ESG-STD,0.60291079
19/11/2019,ESG-STD,0.605243426
20/11/2019,ESG-STD,0.607461869
21/11/2019,ESG-STD,0.610658831
22/11/2019,ESG-STD,0.61186509
23/11/2019,ESG-STD,0.612728369
24/11/2019,ESG-STD,0.611998202
25/11/2019,ESG-STD,0.611535881
26/11/2019,ESG-STD,0.610855526
27/11/2019,ESG-STD,0.611628722
28/11/2019,ESG-STD,0.613449452
29/11/2019,ESG-STD,0.614424382
30/11/2019,ESG-STD,0.614453446
01/12/2019,ESG-STD,0.61430059
02/12/2019,ESG-STD,0.614612454
03/12/2019,ESG-STD,0.617245942
04/12/2019,ESG-STD,0.618151268
05/12/2019,ESG-STD,0.618781511
06/12/2019,ESG-STD,0.619097711
07/12/2019,ESG-STD,0.620403915
08/12/2019,ESG-STD,0.619425956
09/12/2019,ESG-STD,0.618325812
10/12/2019,ESG-STD,0.618414184
11/12/2019,ESG-STD,0.61926921
12/12/2019,ESG-STD,0.620290739
13/12/2019,ESG-STD,0.6167167
14/12/2019,ESG-STD,0.615282283
15/12/2019,ESG-STD,0.613840038
16/12/2019,ESG-STD,0.610599296
17/12/2019,ESG-STD,0.610965793
18/12/2019,ESG-STD,0.612416313
19/12/2019,ESG-STD,0.613975874
20/12/2019,ESG-STD,0.613271552
21/12/2019,ESG-STD,0.613008384
22/12/2019,ESG-STD,0.612737121
23/12/2019,ESG-STD,0.610535882
24/12/2019,ESG-STD,0.610162772
25/12/2019,ESG-STD,0.608203741
26/12/2019,ESG-STD,0.607163901
27/12/2019,ESG-STD,0.606773606
28/12/2019,ESG-STD,0.608588584
29/12/2019,ESG-STD,0.609750125
30/12/2019,ESG-STD,0.610061989
31/12/2019,ESG-STD,0.611537815
01/01/2020,ESG-STD,0.614801676
02/01/2020,ESG-STD,0.614190556
03/01/2020,ESG-STD,0.618142307
04/01/2020,ESG-STD,0.623136225
05/01/2020,ESG-STD,0.624588573
06/01/2020,ESG-STD,0.626025451
07/01/2020,ESG-STD,0.62650255
08/01/2020,ESG-STD,0.630297782
09/01/2020,ESG-STD,0.631247226
10/01/2020,ESG-STD,0.629036556
11/01/2020,ESG-STD,0.628648889
12/01/2020,ESG-STD,0.628268805
13/01/2020,ESG-STD,0.626399574
14/01/2020,ESG-STD,0.62493069
15/01/2020,ESG-STD,0.623861984
16/01/2020,ESG-STD,0.621991163
17/01/2020,ESG-STD,0.620976996
18/01/2020,ESG-STD,0.620264949
19/01/2020,ESG-STD,0.620632312
20/01/2020,ESG-STD,0.619399426
21/01/2020,ESG-STD,0.620542715
22/01/2020,ESG-STD,0.62196169
23/01/2020,ESG-STD,0.62501438
24/01/2020,ESG-STD,0.627002655
25/01/2020,ESG-STD,0.628243982
26/01/2020,ESG-STD,0.628181331
27/01/2020,ESG-STD,0.631673959
28/01/2020,ESG-STD,0.632467703
29/01/2020,ESG-STD,0.63348511
30/01/2020,ESG-STD,0.63614767
31/01/2020,ESG-STD,0.637129719
01/02/2020,ESG-STD,0.63913245
02/02/2020,ESG-STD,0.640037541
03/02/2020,ESG-STD,0.640183736
04/02/2020,ESG-STD,0.640499045
05/02/2020,ESG-STD,0.638711226
06/02/2020,ESG-STD,0.638537476
07/02/2020,ESG-STD,0.639580464
08/02/2020,ESG-STD,0.64177359
09/02/2020,ESG-STD,0.642651778
10/02/2020,ESG-STD,0.645287184
11/02/2020,ESG-STD,0.645755234
12/02/2020,ESG-STD,0.644401606
13/02/2020,ESG-STD,0.643916651
14/02/2020,ESG-STD,0.641903115
15/02/2020,ESG-STD,0.64214964
16/02/2020,ESG-STD,0.639801743
17/02/2020,ESG-STD,0.640612736
18/02/2020,ESG-STD,0.640182067
19/02/2020,ESG-STD,0.639869527
20/02/2020,ESG-STD,0.638180277
21/02/2020,ESG-STD,0.637905813
22/02/2020,ESG-STD,0.636420434
23/02/2020,ESG-STD,0.634231212
24/02/2020,ESG-STD,0.637076127
25/02/2020,ESG-STD,0.638908582
26/02/2020,ESG-STD,0.641856893
27/02/2020,ESG-STD,0.643116168
28/02/2020,ESG-STD,0.648802407
29/02/2020,ESG-STD,0.651111858
01/03/2020,ESG-STD,0.651195545
02/03/2020,ESG-STD,0.650303854
03/03/2020,ESG-STD,0.650173466
04/03/2020,ESG-STD,0.648035631
